,BUILDINGID,wathtot,time
0,0002,362000.0,2021-11-23T15:00:01.722100Z
1,0005,4518000.0,2021-11-23T15:00:01.722100Z
2,0006,5034000.0,2021-11-23T15:00:01.722100Z
3,0007,4153000.0,2021-11-23T15:00:01.722100Z
4,0008,3981000.0,2021-11-23T15:00:01.722100Z
5,0009,2032000.0,2021-11-23T15:00:01.722100Z
6,0010,1517383.0,2021-11-23T15:00:01.722100Z
7,0012,747000.0,2021-11-23T15:00:01.722100Z
8,0013,601000.0,2021-11-23T15:00:01.722100Z
9,0014,374000.0,2021-11-23T15:00:01.722100Z
10,0015,51000.0,2021-11-23T15:00:01.722100Z
11,0016,2603000.0,2021-11-23T15:00:01.722100Z
12,0017,2111.0,2021-11-23T15:00:01.722100Z
13,0018,230000.0,2021-11-23T15:00:01.722100Z
14,0019,5552000.0,2021-11-23T15:00:01.722100Z
15,0027,995000.0,2021-11-23T15:00:01.722100Z
16,0029,4090000.0,2021-11-23T15:00:01.722100Z
17,0030,2744000.0,2021-11-23T15:00:01.722100Z
18,0031,1772000.0,2021-11-23T15:00:01.722100Z
19,0032,179000.0,2021-11-23T15:00:01.722100Z
20,0033,719000.0,2021-11-23T15:00:01.722100Z
21,0034,743000.0,2021-11-23T15:00:01.722100Z
22,0035,582000.0,2021-11-23T15:00:01.722100Z
23,0036,509000.0,2021-11-23T15:00:01.722100Z
24,0037,4666000.0,2021-11-23T15:00:01.722100Z
25,0038,1954000.0,2021-11-23T15:00:01.722100Z
26,0039,1948000.0,2021-11-23T15:00:01.722100Z
27,0040,312000.0,2021-11-23T15:00:01.722100Z
28,0041,31.0,2021-11-23T15:00:01.722100Z
29,0042,70000.0,2021-11-23T15:00:01.722100Z
30,0047,898000.0,2021-11-23T15:00:01.722100Z
31,0048,285000.0,2021-11-23T15:00:01.722100Z
32,0049,4353000.0,2021-11-23T15:00:01.722100Z
33,0051,1574000.0,2021-11-23T15:00:01.722100Z
34,0058,1217000.0,2021-11-23T15:00:01.722100Z
35,0063,3881000.0,2021-11-23T15:00:01.722100Z
36,0064,489000.0,2021-11-23T15:00:01.722100Z
37,0065,1152000.0,2021-11-23T15:00:01.722100Z
38,0066,557.0,2021-11-23T15:00:01.722100Z
39,0067,713000.0,2021-11-23T15:00:01.722100Z
40,0068,1123000.0,2021-11-23T15:00:01.722100Z
41,0069,3521.0,2021-11-23T15:00:01.722100Z
42,006a,394000.0,2021-11-23T15:00:01.722100Z
43,0071,497000.0,2021-11-23T15:00:01.722100Z
44,0072,719000.0,2021-11-23T15:00:01.722100Z
45,0073,492000.0,2021-11-23T15:00:01.722100Z
46,0074,482000.0,2021-11-23T15:00:01.722100Z
47,0075,414000.0,2021-11-23T15:00:01.722100Z
48,0076,675000.0,2021-11-23T15:00:01.722100Z
49,0077,309000.0,2021-11-23T15:00:01.722100Z
50,0080,258000.0,2021-11-23T15:00:01.722100Z
51,0081,858000.0,2021-11-23T15:00:01.722100Z
52,0083,329000.0,2021-11-23T15:00:01.722100Z
53,0084,234000.0,2021-11-23T15:00:01.722100Z
54,0085,195000.0,2021-11-23T15:00:01.722100Z
55,0086,238000.0,2021-11-23T15:00:01.722100Z
56,0087,973000.0,2021-11-23T15:00:01.722100Z
57,0088,93000.0,2021-11-23T15:00:01.722100Z
58,0089,174000.0,2021-11-23T15:00:01.722100Z
59,008b,4638000.0,2021-11-23T15:00:01.722100Z
60,0090,216000.0,2021-11-23T15:00:01.722100Z
61,0091,189000.0,2021-11-23T15:00:01.722100Z
62,0092,282000.0,2021-11-23T15:00:01.722100Z
63,0093,275000.0,2021-11-23T15:00:01.722100Z
64,0094,294000.0,2021-11-23T15:00:01.722100Z
65,0095,303000.0,2021-11-23T15:00:01.722100Z
66,0096,151000.0,2021-11-23T15:00:01.722100Z
67,0097,316000.0,2021-11-23T15:00:01.722100Z
68,0098,308.0,2021-11-23T15:00:01.722100Z
69,0099,348000.0,2021-11-23T15:00:01.722100Z
70,009a,6725000.0,2021-11-23T15:00:01.722100Z
71,0100,123000.0,2021-11-23T15:00:01.722100Z
72,0101,291000.0,2021-11-23T15:00:01.722100Z
73,0102,232000.0,2021-11-23T15:00:01.722100Z
74,0104,299000.0,2021-11-23T15:00:01.722100Z
75,0105,287000.0,2021-11-23T15:00:01.722100Z
76,0106,225000.0,2021-11-23T15:00:01.722100Z
77,0107,287000.0,2021-11-23T15:00:01.722100Z
78,0111,11116000.0,2021-11-23T15:00:01.722100Z
79,0113,2650000.0,2021-11-23T15:00:01.722100Z
80,0114,1143000.0,2021-11-23T15:00:01.722100Z
81,0115,430000.0,2021-11-23T15:00:01.722100Z
82,0117,4595000.0,2021-11-23T15:00:01.722100Z
83,0118,2345000.0,2021-11-23T15:00:01.722100Z
84,0121,1348000.0,2021-11-23T15:00:01.722100Z
85,0123,1127000.0,2021-11-23T15:00:01.722100Z
86,0124,3539000.0,2021-11-23T15:00:01.722100Z
87,0128,640000.0,2021-11-23T15:00:01.722100Z
88,0130,131000.0,2021-11-23T15:00:01.722100Z
89,0151,676.0,2021-11-23T15:00:01.722100Z
90,016a,1005000.0,2021-11-23T15:00:01.722100Z
91,0194,376000.0,2021-11-23T15:00:01.722100Z
92,0201,4555000.0,2021-11-23T15:00:01.722100Z
93,0202,4594000.0,2021-11-23T15:00:01.722100Z
94,026a,428000.0,2021-11-23T15:00:01.722100Z
95,109a,291000.0,2021-11-23T15:00:01.722100Z
96,109b,346000.0,2021-11-23T15:00:01.722100Z
