,host
0,eigmeter-alpha-gamma-delta-bldg95_dept_lehigh_edu
1,eigmeter-alphachiomega-bldg93_res_lehigh_edu
2,eigmeter-alphaphi-bldg98_res_lehigh_edu
3,eigmeter-alphatauomega-bldg99_res_lehigh_edu
4,eigmeter-alumni-bldg27_dept_lehigh_edu
5,eigmeter-alumnigarage-bldg26a_dept_lehigh_edu
6,eigmeter-alumniparkingdeck-bldg26a_dept_lehigh_edu
7,eigmeter-barnetthouse-bldg194_dept_lehigh_edu
8,eigmeter-bldg101_res_lehigh_edu
9,eigmeter-bldg107_res_lehigh_edu
10,eigmeter-bldg8b-rm179_cc_lehigh_edu
11,eigmeter-bldgh-atlass-bldg117_atlss_lehigh_edu
12,eigmeter-bldgh-rm208-bldg117_atlss_lehigh_edu
13,eigmeter-bldgj-bldg118_dept_lehigh_edu
14,eigmeter-brodhead-bldg201_res_lehigh_edu
15,eigmeter-brodheadkitchen-bldg201_res_lehigh_edu
16,eigmeter-campuspolice-bldg47_dept_lehigh_edu
17,eigmeter-cent1-bldg58_dept_lehigh_edu
18,eigmeter-cent2-bldg51-s05_res_lehigh_edu
19,eigmeter-chandler-bldg17_infra_lehigh_edu
20,eigmeter-chi-phi-bldg105_dept_lehigh_edu
21,eigmeter-chipsi-bldg84_res_lehigh_edu
22,eigmeter-chr-main-bldg10_dept_lehigh_edu
23,eigmeter-chr-mcc-bldg10_dept_lehigh_edu
24,eigmeter-chr-powerpanel-bldg10_dept_lehigh_edu
25,eigmeter-chr-transfereswitch-bldg10_dept_lehigh_edu
26,eigmeter-christmassaucon_dept_lehigh_edu
27,eigmeter-coppee-bldg33_dept_lehigh_edu
28,eigmeter-coxehall-bldg32_dept_lehigh_edu
29,eigmeter-delta-chi-bld86_dept_lehigh_edu
30,eigmeter-deltaupsilon-bldg81_res_lehigh_edu
31,eigmeter-dialoguecntr-bldg41_dept_lehigh_edu
32,eigmeter-dravohouse-bldg65_res_lehigh_edu
33,eigmeter-drinker-bldg64_res_lehigh_edu
34,eigmeter-drownhall-bldg35_dept_lehigh_edu
35,eigmeter-ewfm-mart1-bldg008_cc_lehigh_edu
36,eigmeter-ewfm-mart2-bldg008_cc_lehigh_edu
37,eigmeter-fairchildlab-bldg016a_dept_lehigh_edu
38,eigmeter-farrington-johnnys_res_lehigh_edu
39,eigmeter-farrington-mailcenter_res_lehigh_edu
40,eigmeter-farrington-thecup_res_lehigh_edu
41,eigmeter-farringtonsq-bldg202_dept_lehigh_edu
42,eigmeter-farringtonsqparking-bldg2_dept_lehigh_edu
43,eigmeter-frat-bldg94_res_lehigh_edu
44,eigmeter-fritz1_ce_lehigh_edu
45,eigmeter-fritz2_ce_lehigh_edu
46,eigmeter-gammaphibeta-bldg100_res_lehigh_edu
47,eigmeter-gracechiller-bldg39_dept_lehigh_edu
48,eigmeter-gracehall-bldg39_dept_lehigh_edu
49,eigmeter-house104-bldg104_res_lehigh_edu
50,eigmeter-iacocca-bus-bldg111_dept_lehigh_edu
51,eigmeter-iacocca-nw-bldg111_dept_lehigh_edu
52,eigmeter-iacocca-se-bldg111_dept_lehigh_edu
53,eigmeter-iacocca-sw-bldg111_dept_lehigh_edu
54,eigmeter-ideal-bldg42_dept_lehigh_edu
55,eigmeter-johnsonhall-bldg36_dept_lehigh_edu
56,eigmeter-jordan-hall-bldg115_dept_lehigh_edu
57,eigmeter-kappa-alpha-theta-bldg106_dept_lehigh_edu
58,eigmeter-kappaalpha-bldg85_res_lehigh_edu
59,eigmeter-kappasigma-bldg87_res_lehigh_edu
60,eigmeter-lamberton-bldg34_dept_lehigh_edu
61,eigmeter-linderman-bldg31_dept_lehigh_edu
62,eigmeter-maginnes-bldg009_dept_lehigh_edu
63,eigmeter-mm-bldg49_res_lehigh_edu
64,eigmeter-mm-bldg67_res_lehigh_edu
65,eigmeter-mtc-d-bldg114_dept_lehigh_edu
66,eigmeter-mtcd-bldg114_dept_lehigh_edu
67,eigmeter-mtn-bldg-c_dept_lehigh_edu
68,eigmeter-mudd-bldg6_dept_lehigh_edu
69,eigmeter-neville-bldg6a_dept_lehigh_edu
70,eigmeter-nrh-rma327_infra_lehigh_edu
71,eigmeter-nrh-rmc231_infra_lehigh_edu
72,eigmeter-packard-lab-bldg19_dept_lehigh_edu
73,eigmeter-packerchapel-bldg18_dept_lehigh_edu
74,eigmeter-phi-kappa-theta-bld88_dept_lehigh_edu
75,eigmeter-phideltatheta-bldg97_res_lehigh_edu
76,eigmeter-phikappaalpha-bldg89_res_lehigh_edu
77,eigmeter-philosophy-bldg15_dept_lehigh_edu
78,eigmeter-phisigmakappa-bldg90_res_lehigh_edu
79,eigmeter-physics-bldg16_dept_lehigh_edu
80,eigmeter-pibetaphi-bldg83_res_lehigh_edu
81,eigmeter-price-bldg40_dept_lehigh_edu
82,eigmeter-pricehall-bldg40_dept_lehigh_edu
83,eigmeter-psiupsilon-bldg80_res_lehigh_edu
84,eigmeter-rathbone-bldg63_dept_lehigh_edu
85,eigmeter-rauch-field-house_dept_lehigh_edu
86,eigmeter-rauchrbcchiller_dept_lehigh_edu
87,eigmeter-rbc-bldg37_dept_lehigh_edu
88,eigmeter-richards-bldg66_res_lehigh_edu
89,eigmeter-sayerparka-bldg109a_res_lehigh_edu
90,eigmeter-sayerparkb-bldg109b_res_lehigh_edu
91,eigmeter-sayerparkc-bldg109c_res_lehigh_edu
92,eigmeter-sayerparkd-bldg109d_res_lehigh_edu
93,eigmeter-sigmachi-bldg102_res_lehigh_edu
94,eigmeter-sigmaphiepsilon-bldg92_res_lehigh_edu
95,eigmeter-sinclair-bldg007_dept_lehigh_edu
96,eigmeter-sinclairopto-bldg7_dept_lehigh_edu
97,eigmeter-stabler_dept_lehigh_edu
98,eigmeter-steps1_dept_lehigh_edu
99,eigmeter-taylor-bldg68_res_lehigh_edu
100,eigmeter-taylorgym-bldg38_dept_lehigh_edu
101,eigmeter-taylorhall-bldg68_res_lehigh_edu
102,eigmeter-tennis-bldg128_dept_lehigh_edu
103,eigmeter-theta-chi_dept_lehigh_edu
104,eigmeter-thetaxi-bldg96_res_lehigh_edu
105,eigmeter-track-bldg130_dept_lehigh_edu
106,eigmeter-trembley-a-bldg71_res_lehigh_edu
107,eigmeter-trembley-b-bldg72_res_lehigh_edu
108,eigmeter-trembley-c-bldg73_res_lehigh_edu
109,eigmeter-trembley-d-bldg74_res_lehigh_edu
110,eigmeter-trembley-e-bldg75_res_lehigh_edu
111,eigmeter-trembley-f-bldg76_res_lehigh_edu
112,eigmeter-trembley-g-bldg77_res_lehigh_edu
113,eigmeter-ulrich-fields-151_dept_lehigh_edu
114,eigmeter-universtycenter-bldg29_dept_lehigh_edu
115,eigmeter-varsity_dept_lehigh_edu
116,eigmeter-whitaker-bldg5_mat_lehigh_edu
117,eigmeter-wilbur-bldg12_dept_lehigh_edu
